Part #,Width,Height,Max Length,Thickness
1,143,159,159.530561335,142.42541908
2,146,131,147.200543477,137.80058055
3,300,323,328.892079564,304.854063447
4,225,224,226.614209616,224.750973302
5,90,94,98.8129546163,83.0060238778
6,182,189,189.380569225,182.395175375
7,219,215,227.481867409,205.009755865
8,121,125,125.89678312,121.807224745
9,109,88,115.451288429,82.7647267862
10,76,133,135.366170072,75.9275970909
11,127,91,134.260939964,86.1626369142
12,122,133,134.134261097,124.651514231
13,185,151,185.970427757,150.764717358
14,111,117,117.273185341,111.287914887
15,142,146,160.776242026,148.734663075
16,86,86,87.6641317758,84.0595027347
17,89,81,90.9560333348,79.8122797569
18,140,136,142.17243052,133.600149701
